Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761527570,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761527571,5,,Aggregated,0.000000,0.000000,460,480,490,490,790,790,790,790,790,790,790,9,0,460.0,438.6721384451246,261.06139299372444,787.6542820013128,135710.88888888888
1761527572,10,,Aggregated,0.000000,0.000000,310,480,490,740,780,790,800,800,800,800,800,29,0,310.0,381.92457382784,117.37092200201005,798.7893590034219,127506.68965517242
1761527573,15,,Aggregated,4.000000,0.000000,330,490,680,730,770,780,800,800,800,800,800,50,0,310.0,408.65796023994335,117.37092200201005,798.7893590034219,123157.46
1761527574,20,,Aggregated,11.000000,0.000000,310,460,680,720,780,800,830,840,840,840,840,74,0,310.0,397.6013603516205,15.512521000346169,840.9672760026297,121032.81081081081
1761527575,25,,Aggregated,14.000000,0.000000,280,460,680,730,770,800,840,890,890,890,890,99,0,280.0,390.2097934347106,13.134043998434208,891.2729110015789,118571.36363636363
1761527576,30,,Aggregated,16.250000,0.000000,280,480,700,730,770,790,830,840,890,890,890,122,0,280.0,395.375610524767,13.134043998434208,891.2729110015789,114168.2868852459
1761527577,35,,Aggregated,18.800000,0.000000,310,490,720,740,780,800,830,890,960,960,960,152,0,300.0,407.71548062524454,13.134043998434208,961.6449140012264,110171.11842105263
1761527578,40,,Aggregated,19.500000,0.000000,310,480,720,750,800,890,960,970,1000,1000,1000,180,0,310.0,416.771914066784,13.134043998434208,1002.8906640000059,113569.16111111111
1761527579,45,,Aggregated,19.857143,0.000000,310,640,750,780,850,960,980,1000,1100,1100,1100,195,0,310.0,453.7897091129054,13.134043998434208,1051.6443840024294,112667.81538461539
1761527579,50,,Aggregated,19.857143,0.000000,420,710,770,800,960,1000,1300,1500,1600,1600,1600,231,0,420.0,518.845320428652,13.134043998434208,1600.7691280028666,113762.64502164502
1761527580,50,,Aggregated,20.500000,0.000000,490,710,780,820,970,1100,1300,1500,1600,1600,1600,258,0,490.0,534.3009554108417,13.134043998434208,1600.7691280028666,118797.08139534884
1761527581,50,,Aggregated,20.666667,0.000000,480,710,780,820,980,1100,1300,1500,1600,1600,1600,288,0,460.0,530.5303362950376,13.134043998434208,1600.7691280028666,120602.40277777778
1761527582,50,,Aggregated,24.900000,0.000000,420,700,770,800,970,1100,1200,1300,1600,1600,1600,312,0,420.0,516.5960339966963,13.134043998434208,1600.7691280028666,125115.67628205128
1761527583,50,,Aggregated,27.700000,0.000000,370,670,760,790,960,1100,1200,1300,1600,1600,1600,337,0,370.0,492.8328062698106,12.496666997321881,1600.7691280028666,122281.81305637982
1761527584,50,,Aggregated,27.700000,0.000000,340,640,750,790,960,1100,1200,1300,1600,1600,1600,360,0,340.0,468.5095359192322,12.496666997321881,1600.7691280028666,119182.24166666667
1761527585,50,,Aggregated,28.000000,0.000000,310,600,740,780,950,1000,1200,1300,1600,1600,1600,379,0,310.0,451.57705356176797,12.496666997321881,1600.7691280028666,120627.15567282322
1761527586,50,,Aggregated,28.700000,0.000000,300,530,720,770,930,1000,1200,1300,1600,1600,1600,404,0,300.0,431.8552501656518,11.99527100106934,1600.7691280028666,120210.2995049505
1761527587,50,,Aggregated,27.700000,0.000000,270,500,700,750,910,1000,1200,1300,1600,1600,1600,429,0,270.0,414.0189318506541,11.99527100106934,1600.7691280028666,124020.38927738927
1761527588,50,,Aggregated,27.600000,0.000000,260,480,680,750,900,1000,1200,1300,1600,1600,1600,449,0,260.0,400.3715458261417,11.99527100106934,1600.7691280028666,126003.87082405345
1761527589,50,,Aggregated,28.200000,0.000000,230,410,640,740,890,1000,1100,1300,1600,1600,1600,477,0,230.0,384.735707008221,11.99527100106934,1600.7691280028666,127062.9182389937
1761527590,50,,Aggregated,27.900000,0.000000,220,380,630,730,880,1000,1100,1300,1600,1600,1600,493,0,220.0,375.7923253386024,10.352589997637551,1600.7691280028666,128640.49695740365
1761527591,50,,Aggregated,28.400000,0.000000,200,340,600,710,840,1000,1100,1300,1600,1600,1600,522,0,200.0,364.1055810209321,10.352589997637551,1600.7691280028666,128669.5785440613
1761527592,50,,Aggregated,23.400000,0.000000,190,320,550,690,830,990,1100,1300,1600,1600,1600,545,0,190.0,354.5533430952832,10.352589997637551,1600.7691280028666,130078.26055045871
1761527593,50,,Aggregated,23.400000,0.000000,180,310,520,670,830,980,1100,1300,1600,1600,1600,567,0,180.0,345.6407694725265,10.352589997637551,1600.7691280028666,131065.63315696649
1761527594,50,,Aggregated,23.500000,0.000000,180,300,490,640,820,980,1100,1300,1600,1600,1600,593,0,180.0,336.6524331043873,10.352589997637551,1600.7691280028666,132604.15177065769
1761527595,50,,Aggregated,23.600000,0.000000,180,280,480,640,810,980,1100,1200,1600,1600,1600,613,0,180.0,330.15005212386086,10.352589997637551,1600.7691280028666,133777.4127243067
